Week,Mean_cases_per_100k,Median_cases_per_100k,Mode_cases_per_100k,Mean_deaths_per_100k,Median_deaths_per_100k,Mode_deaths_per_100k
2020-01-20/2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27/2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03/2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10/2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17/2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24/2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02/2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09/2020-03-15,0.03197581349467263,0.0,0.0,0.0,0.0,0.0
2020-03-16/2020-03-22,0.32775208832039443,0.2238306944627084,0.2238306944627084,0.0,0.0,0.0
2020-03-23/2020-03-29,2.1503734575167344,2.4621376390897924,2.741926007168178,0.04796372024200895,0.0559576736156771,0.0
2020-03-30/2020-04-05,6.283247351703173,6.155344097724481,1.3429841667762505,0.03197581349467263,0.0,0.0
2020-04-06/2020-04-12,2.5980348464421508,2.294264618242761,0.6155344097724481,0.1358972073523587,0.1119153472313542,0.1119153472313542
2020-04-13/2020-04-19,1.9745064832960348,1.2310688195448962,0.2238306944627084,0.14389116072602684,0.1119153472313542,0.0559576736156771
2020-04-20/2020-04-26,1.7666636955806627,1.7346878820859901,0.4476613889254168,0.08793348711034973,0.1119153472313542,0.0
2020-04-27/2020-05-03,1.3429841667762505,1.5108571876232817,1.7346878820859901,0.0559576736156771,0.0559576736156771,0.0
2020-05-04/2020-05-10,1.3509781201499185,1.3989418403919276,0.0,0.03197581349467263,0.0,0.0
2020-05-11/2020-05-17,1.4948692808759456,1.6787302084703133,0.0,0.04796372024200895,0.0,0.0
2020-05-18/2020-05-24,1.6707362550966447,1.6227725348546358,0.0,0.039969766868340785,0.0,0.0
2020-05-25/2020-05-31,1.7027120685913175,1.7906455557016672,0.0,0.031975813494672635,0.0,0.0
2020-06-01/2020-06-07,2.390192058726779,3.1895873960935948,1.5108571876232817,0.007993953373668157,0.0,0.0
2020-06-08/2020-06-14,2.070433923780053,2.3502222918584383,2.797883680783855,0.02398186012100447,0.0,0.0
2020-06-15/2020-06-21,4.844335744442903,5.148105972642293,0.0,0.02398186012100447,0.0,0.0
2020-06-22/2020-06-28,10.512048686373628,12.366645869064639,0.0,0.015987906747336314,0.0,0.0
2020-06-29/2020-07-05,19.3053973974086,20.48050854333782,12.422603542680315,0.007993953373668157,0.0,0.0
2020-07-06/2020-07-12,22.159238751808136,25.740529863211467,0.0,0.07993953373668157,0.0559576736156771,0.0
2020-07-13/2020-07-19,30.337053053070658,34.581842294488446,0.0,0.1358972073523587,0.0559576736156771,0.0
2020-07-20/2020-07-26,30.968575369590443,29.37777864823048,19.417312744639954,0.21583674108904025,0.16787302084703132,0.16787302084703132
2020-07-27/2020-08-02,23.51021687195805,26.57989496744662,0.0,0.3996976686834079,0.39170371530973974,0.0
2020-08-03/2020-08-09,28.4185042433903,31.22438187754782,10.184296598053233,0.32775208832039443,0.33574604169406264,0.33574604169406264
2020-08-10/2020-08-16,22.439027119886514,27.699048439760162,0.0,0.2558065079573811,0.2238306944627084,0.0
2020-08-17/2020-08-23,17.44280626134392,20.704339237800525,0.0,0.29577627482572183,0.2238306944627084,0.0
2020-08-24/2020-08-30,16.115810001315005,17.290921147244223,0.0,0.4156855754307442,0.4476613889254168,0.0
2020-08-31/2020-09-06,14.397110025976351,15.66814861238959,0.0,0.2078427877153721,0.16787302084703132,0.0
2020-09-07/2020-09-13,14.40510397935002,17.17900580001287,6.267259444955836,0.24781255458371287,0.16787302084703132,0.0559576736156771
2020-09-14/2020-09-20,17.690618815927632,15.891979306852297,13.70963003584089,0.21583674108904025,0.2238306944627084,0.2238306944627084
2020-09-21/2020-09-27,22.415045259765513,24.95712243259199,0.0,0.14389116072602684,0.1119153472313542,0.1119153472313542
2020-09-28/2020-10-04,27.227405190713743,28.706286564842355,0.0,0.15987906747336317,0.16787302084703132,0.0
2020-10-05/2020-10-11,34.89360647606151,37.155895280809595,20.424550869722143,0.21583674108904025,0.16787302084703132,0.16787302084703132
2020-10-12/2020-10-18,36.100693435485404,36.09269948211173,0.0,0.17586697422069947,0.16787302084703132,0.33574604169406264
2020-10-19/2020-10-25,48.859043019859776,55.2302238586733,0.0,0.31975813494672634,0.33574604169406264,0.5036190625410939
2020-10-26/2020-11-01,51.1133378712342,49.3546681290272,0.0,0.47963720242008945,0.2797883680783855,0.0
2020-11-02/2020-11-08,62.936394910889405,70.78645712383154,36.31653017657444,0.44766138892541685,0.39170371530973974,0.1119153472313542
2020-11-09/2020-11-15,74.19987521438783,70.8424147974472,51.984678788964025,0.5835585962777755,0.6714920833881253,0.0
2020-11-16/2020-11-22,75.21510729284368,73.304552436537,45.829334691239545,0.7034678968827979,0.4476613889254168,0.0559576736156771
2020-11-23/2020-11-29,69.0357813349982,65.41452045672654,0.0,0.5835585962777755,0.33574604169406264,0.0
2020-11-30/2020-12-06,75.29504682658037,80.01947327041826,0.0,0.9033167312245017,1.0072381250821878,1.7346878820859901
2020-12-07/2020-12-13,91.68265124260009,102.1227543486107,30.440974446928344,1.1431353324345466,1.063195798697865,0.33574604169406264
2020-12-14/2020-12-20,70.2188864343011,71.51390688083534,50.02616021241533,0.8313711508614884,0.9512804514665107,0.0559576736156771
