Week,Mean_cases_per_100k,Median_cases_per_100k,Mode_cases_per_100k,Mean_deaths_per_100k,Median_deaths_per_100k,Mode_deaths_per_100k
2020-01-20/2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27/2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03/2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10/2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17/2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24/2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02/2020-03-08,0.018551936052218505,0.0,0.0,0.0,0.0,0.0
2020-03-09/2020-03-15,0.10203564828720178,0.09739766427414716,0.0,0.0,0.0,0.0
2020-03-16/2020-03-22,0.7791813141931774,0.6168518737362653,1.168771971289766,0.009275968026109253,0.0,0.0
2020-03-23/2020-03-29,3.395004297555986,3.798508906691739,-0.5194542094621182,0.06029379216971015,0.06493177618276477,0.0
2020-03-30/2020-04-05,4.22056545187971,3.376452361503768,2.694668711584738,0.14377750440469342,0.16232944045691192,0.09739766427414716
2020-04-06/2020-04-12,3.6547314022870454,4.480292556610769,0.0,0.2597271047310591,0.16232944045691192,0.0
2020-04-13/2020-04-19,5.115696366399253,3.181657032955474,0.0,0.3339348489399331,0.12986355236552954,0.0
2020-04-20/2020-04-26,4.243755371944983,4.317963116153857,2.85699815204165,0.22262323262662206,0.19479532854829432,0.032465888091382386
2020-04-27/2020-05-03,3.933010443070323,2.7271345996761203,1.1363060831983836,0.23653718466578597,0.19479532854829432,0.38959065709658863
2020-05-04/2020-05-10,2.991499688420234,2.142748614031237,0.0,0.22726121663967666,0.16232944045691192,0.16232944045691192
2020-05-11/2020-05-17,3.561971722025953,3.2141229210468563,0.7467154261017948,0.19943331256134894,0.22726121663967672,0.0
2020-05-18/2020-05-24,4.619432077002408,3.798508906691739,0.0,0.19943331256134894,0.06493177618276477,0.0
2020-05-25/2020-05-31,3.3068826013079486,3.1491911448640915,1.9804191735743255,0.09739766427414716,0.09739766427414716,0.09739766427414716
2020-06-01/2020-06-07,4.800313453511538,4.869883213707357,0.38959065709658863,0.11594960032636567,0.09739766427414716,0.09739766427414716
2020-06-08/2020-06-14,7.174961268195507,7.012631827738595,3.7660430186003566,0.04174185611749164,0.032465888091382386,0.032465888091382386
2020-06-15/2020-06-21,9.308433914200634,10.324152413059597,2.694668711584738,0.11131161631331103,0.09739766427414716,0.06493177618276477
2020-06-22/2020-06-28,18.343226771631045,15.356365067223868,11.752651489080423,0.06029379216971015,0.06493177618276477,0.06493177618276477
2020-06-29/2020-07-05,24.405071876693444,23.9598254114402,18.2458291073569,0.15769145644385732,0.12986355236552954,0.12986355236552954
2020-07-06/2020-07-12,24.395795908667335,27.433675437218117,15.94075105286875,0.27364105677022293,0.16232944045691192,0.16232944045691192
2020-07-13/2020-07-19,37.47491082548139,38.43961150019674,26.979153003938762,0.25045113670494984,0.22726121663967672,0.22726121663967672
2020-07-20/2020-07-26,32.80446092433537,31.36204789627538,26.459698794476644,0.4035046091357525,0.32465888091382383,0.9090448665587069
2020-07-27/2020-08-02,34.047440639834015,32.368490427108235,28.277788527594055,0.4545224332793533,0.16232944045691192,0.0
2020-08-03/2020-08-09,28.092269167071873,28.797242737056173,21.07036137130717,0.5797480016318283,0.4869883213707358,0.4869883213707358
2020-08-10/2020-08-16,23.542406850265284,22.628723999693523,17.109523024158516,0.5333681615012821,0.4869883213707358,0.4869883213707358
2020-08-17/2020-08-23,19.920141336069623,17.271852464615428,4.642621997067681,0.5797480016318284,0.0,0.0
2020-08-24/2020-08-30,15.25896740294972,14.44732020066516,8.084006134754214,0.48698832137073583,0.45452243327935343,0.0
2020-08-31/2020-09-06,12.415883202947233,12.564298691364982,0.0,0.4035046091357525,0.09739766427414716,0.0
2020-09-07/2020-09-13,8.747237848621024,9.25277810604398,4.480292556610769,0.2782790407832776,0.32465888091382383,0.0
2020-09-14/2020-09-20,10.764760894299787,10.454015965425128,6.330848177819565,0.37567670505742473,0.38959065709658863,0.38959065709658863
2020-09-21/2020-09-27,13.491895493975909,12.012378593811484,2.142748614031237,0.2550891207180045,0.2921929928224415,0.2921929928224415
2020-09-28/2020-10-04,15.509418539654671,13.668138886471985,12.369503362816687,0.17624339249607582,0.19479532854829432,0.09739766427414716
2020-10-05/2020-10-11,16.928641647649386,15.129103850584192,0.0,0.1762433924960758,0.06493177618276477,0.0
2020-10-12/2020-10-18,21.561987676690958,22.888451104424583,0.0,0.23189920065273134,0.09739766427414716,0.0
2020-10-19/2020-10-25,24.502469540967592,25.29092682318688,15.68102394813769,0.1716054084830212,0.16232944045691192,0.16232944045691192
2020-10-26/2020-11-01,23.616614594474157,23.472837090069465,0.0,0.13450153637858417,0.09739766427414716,0.0
2020-11-02/2020-11-08,42.0618770143924,40.71222366659351,29.15436750606138,0.3339348489399331,0.22726121663967672,0.032465888091382386
2020-11-09/2020-11-15,46.787982723695066,42.627711063985075,30.93999135108741,0.2643650887441137,0.19479532854829432,0.032465888091382386
2020-11-16/2020-11-22,51.138411727940316,53.76351067932923,0.0,0.4684363853185173,0.2597271047310591,0.0
2020-11-23/2020-11-29,83.13122544999112,92.20312217952598,0.0,0.5658340495926645,0.7467154261017948,0.7467154261017948
2020-11-30/2020-12-06,79.79651494460485,80.84006134754215,51.10130785583588,0.7745433301801227,0.7467154261017948,0.7467154261017948
