,Week,Mean,Median,Mode
89,2021-10-04/2021-10-10,94947.57142857143,98735.0,21805
90,2021-10-11/2021-10-17,82423.14285714286,91987.0,20997
91,2021-10-18/2021-10-24,72732.0,84452.0,22899
92,2021-10-25/2021-10-31,72355.42857142857,74998.0,22103
93,2021-11-01/2021-11-07,72570.28571428571,69313.0,28902
94,2021-11-08/2021-11-14,79552.42857142857,71218.0,21396
95,2021-11-15/2021-11-21,90702.28571428571,112415.0,28750
96,2021-11-22/2021-11-28,77995.85714285714,85504.0,22085
97,2021-11-29/2021-12-05,115335.28571428571,122391.0,37480
98,2021-12-06/2021-12-12,118575.57142857143,131353.0,38591
99,2021-12-13/2021-12-19,139710.85714285713,153175.0,72050
100,2021-12-20/2021-12-26,223124.0,219493.0,103725
101,2021-12-27/2022-01-02,414470.0,452176.0,191150
102,2022-01-03/2022-01-09,733239.4285714285,618974.0,379049
103,2022-01-10/2022-01-16,753958.7142857143,793270.0,268978
104,2022-01-17/2022-01-23,658978.5714285715,641671.0,255482
105,2022-01-24/2022-01-30,468671.5714285714,433335.0,90758
106,2022-01-31/2022-02-06,304239.4285714286,289235.0,97386
107,2022-02-07/2022-02-13,163952.2857142857,168000.0,45103
108,2022-02-14/2022-02-20,96924.42857142857,91699.0,27999
109,2022-02-21/2022-02-27,62037.0,58110.0,17878
110,2022-02-28/2022-03-06,42032.142857142855,46962.0,7380
111,2022-03-07/2022-03-13,34897.142857142855,33120.0,10910
112,2022-03-14/2022-03-20,30335.85714285714,27226.0,14456
113,2022-03-21/2022-03-27,26407.85714285714,33218.0,7731
114,2022-03-28/2022-04-03,31018.14285714286,34408.0,9210
115,2022-04-04/2022-04-10,29170.85714285714,28909.0,11947
116,2022-04-11/2022-04-17,35643.42857142857,36457.0,13314
117,2022-04-18/2022-04-24,43685.142857142855,45270.0,15488
118,2022-04-25/2022-05-01,54659.57142857143,54938.0,25540
119,2022-05-02/2022-05-08,65427.42857142857,70784.0,15051
120,2022-05-09/2022-05-15,90455.57142857143,78321.0,27169
121,2022-05-16/2022-05-22,98804.57142857143,83591.0,60689
122,2022-05-23/2022-05-29,95775.14285714286,81621.0,27585
123,2022-05-30/2022-06-05,82013.14285714286,84857.0,24805
124,2022-06-06/2022-06-12,101189.57142857143,94587.0,27176
125,2022-06-13/2022-06-19,107117.57142857143,93412.0,41056
126,2022-06-20/2022-06-26,95091.85714285714,88062.0,41205
127,2022-06-27/2022-07-03,102631.14285714286,95573.0,34327
128,2022-07-04/2022-07-10,101448.85714285714,107482.0,35722
129,2022-07-11/2022-07-17,110163.57142857143,88092.0,42025
130,2022-07-18/2022-07-24,116794.28571428571,128421.0,30035
131,2022-07-25/2022-07-31,114306.85714285714,101316.0,29905
132,2022-08-01/2022-08-07,102114.71428571429,111862.0,23938
133,2022-08-08/2022-08-14,90534.57142857143,99202.0,21000
134,2022-08-15/2022-08-21,87785.0,95040.0,11963
135,2022-08-22/2022-08-28,84938.0,91480.0,17318
136,2022-08-29/2022-09-04,61013.57142857143,41949.0,9826
137,2022-09-05/2022-09-11,72711.71428571429,66127.0,24640
138,2022-09-12/2022-09-18,43543.28571428572,38497.0,0
139,2022-09-19/2022-09-25,49572.28571428572,46440.0,15330
140,2022-09-26/2022-10-02,35669.0,37022.0,5670
141,2022-10-03/2022-10-09,36686.28571428572,32929.0,3754
142,2022-10-10/2022-10-16,34108.42857142857,35306.0,4365
143,2022-10-17/2022-10-23,24215.0,24310.0,1357
144,2022-10-24/2022-10-30,31817.14285714286,32807.0,2386
145,2022-10-31/2022-11-06,32663.14285714286,35250.0,1300
146,2022-11-07/2022-11-13,26911.285714285714,22299.0,987
147,2022-11-14/2022-11-20,30463.0,31988.0,1057
148,2022-11-21/2022-11-27,29288.285714285714,19995.0,687
149,2022-11-28/2022-12-04,43137.42857142857,41021.0,0
150,2022-12-05/2022-12-11,43715.42857142857,36152.0,0
151,2022-12-12/2022-12-18,45636.0,22991.0,0
152,2022-12-19/2022-12-25,43058.0,31804.0,3273
153,2022-12-26/2023-01-01,35336.42857142857,18151.0,0
154,2023-01-02/2023-01-08,58838.42857142857,14689.0,0
155,2023-01-09/2023-01-15,47913.57142857143,49660.0,1950
156,2023-01-16/2023-01-22,32233.285714285714,32806.0,2137
157,2023-01-23/2023-01-29,33701.71428571428,23104.0,1807
158,2023-01-30/2023-02-05,27892.285714285714,8577.0,0
159,2023-02-06/2023-02-12,42758.0,21714.0,2525
160,2023-02-13/2023-02-19,32334.285714285714,19096.0,2298
161,2023-02-20/2023-02-26,21185.428571428572,7876.0,1836
162,2023-02-27/2023-03-05,22460.0,9788.0,0
163,2023-03-06/2023-03-12,73981.0,25442.0,2770
164,2023-03-13/2023-03-19,13141.142857142857,17406.0,964
165,2023-03-20/2023-03-26,16862.285714285714,12776.0,0
166,2023-03-27/2023-04-02,13167.42857142857,13746.0,0
167,2023-04-03/2023-04-09,10965.857142857143,2108.0,1041
168,2023-04-10/2023-04-16,8765.142857142857,11665.0,747
169,2023-04-17/2023-04-23,10835.57142857143,10303.0,0
170,2023-04-24/2023-04-30,14512.142857142857,8485.0,891
171,2023-05-01/2023-05-07,11617.0,1428.0,699
172,2023-05-08/2023-05-14,9815.0,4514.0,0
173,2023-05-15/2023-05-21,3926.714285714286,772.0,0
174,2023-05-22/2023-05-28,4687.0,4168.0,379
175,2023-05-29/2023-06-04,433.0,433.0,433
176,2023-06-12/2023-06-18,9670.42857142857,4552.0,561
177,2023-06-19/2023-06-25,3765.285714285714,3014.0,439
178,2023-06-26/2023-07-02,2545.0,931.0,66
179,2023-07-03/2023-07-09,3461.8571428571427,1034.0,536
180,2023-07-10/2023-07-16,2860.5714285714284,922.0,422
181,2023-07-17/2023-07-23,1659.857142857143,767.0,0
